Problem,Cargo,Tightness,Success Mean,Success Variance,Computation Time Mean,Computation Time Variance,Heuristic Computation Time Mean,Heuristic Computation Time Variance,States Evaluated Mean,States Evaluated Variance,Heuristic States Evaluated Mean,Heuristic States Evaluated Variance,Dead Ends Mean,Dead Ends Variance
Prob-4-12-4-2-6-1_0625-185,2,1.062500,0.0,0.0,1800.60633333,0.461913678161,None,None,None,None,None,None,327.4,2.38620689655
Prob-4-12-4-2-27-1_5-287,2,1.500000,1.0,0.0,0.706,0.0335489655172,0.00183333333333,7.64367816092e-07,1.0,0.0,89.0,0.0,0.0,0.0
Prob-4-12-4-2-28-1_125-294,2,1.125000,1.0,0.0,0.705666666667,0.0135012643678,0.00183333333333,2.12643678161e-07,1.0,0.0,47.0,0.0,0.0,0.0
Prob-4-12-4-3-15-1_125-379,3,1.125000,0.0,0.0,1798.05695652,3.4753312253,None,None,None,None,None,None,157.291666667,712.389492754
Prob-4-12-4-2-26-1_5-282,2,1.500000,1.0,0.0,0.789,0.0309403448276,0.00216666666667,6.95402298851e-07,1.0,0.0,98.0,0.0,0.0,0.0
Prob-4-12-4-2-19-1_5-247,2,1.500000,1.0,0.0,1.06833333333,0.000186781609195,0.0023,4.93103448276e-07,1.0,0.0,146.0,0.0,0.0,0.0
Prob-4-12-4-1-20-2_0-101,1,2.000000,1.0,0.0,0.773333333333,2.29885057471e-05,0.0018,3.03448275862e-07,1.0,0.0,120.0,0.0,0.0,0.0
Prob-4-12-4-3-1-2_0-306,3,2.000000,1.0,0.0,52.3263333333,0.00192747126437,0.0278333333333,6.35057471264e-06,11.0,0.0,7122.0,0.0,0.0,0.0
Prob-4-12-4-1-24-1_25-123,1,1.250000,1.0,0.0,0.566,4.55172413793e-05,0.00133333333333,2.29885057471e-07,1.0,0.0,17.0,0.0,0.0,0.0
Prob-4-12-4-2-23-2_0-266,2,2.000000,1.0,0.0,0.699666666667,0.0373688505747,0.00206666666667,1.51264367816e-06,1.0,0.0,73.0,0.0,0.0,0.0
Prob-4-12-4-2-26-1_0625-285,2,1.062500,1.0,0.0,0.733,0.0227251724138,0.00186666666667,5.33333333333e-07,1.0,0.0,98.0,0.0,0.0,0.0
Prob-4-12-4-1-1-2_0-6,1,2.000000,1.0,0.0,0.585666666667,0.000321954022989,0.00186666666667,1.19540229885e-07,1.0,0.0,26.0,0.0,0.0,0.0
Prob-4-12-4-2-8-1_25-193,2,1.250000,1.0,0.0,0.825,0.0235224137931,0.002,7.58620689655e-07,1.0,0.0,110.0,0.0,0.0,0.0
Prob-4-12-4-2-13-1_25-218,2,1.250000,1.0,0.0,1.044,6.62068965517e-05,0.00196666666667,3.7816091954e-07,1.0,0.0,146.0,0.0,0.0,0.0
Prob-4-12-4-2-23-1_125-269,2,1.125000,1.0,0.0,0.772,0.0184234482759,0.002,7.58620689655e-07,1.0,0.0,73.0,0.0,0.0,0.0
Prob-4-12-4-2-18-1_25-243,2,1.250000,1.0,0.0,0.971,9.89655172414e-05,0.00216666666667,1.4367816092e-07,1.0,0.0,119.0,0.0,0.0,0.0
Prob-4-12-4-3-11-1_5-357,3,1.500000,1.0,0.0,1705.027,47.742207931,0.2173,0.000182906896552,75.0,0.0,753285.0,0.0,11.0,0.0
Prob-4-12-4-2-19-1_125-249,2,1.125000,1.0,0.0,1.05066666667,0.00035816091954,0.00236666666667,3.09195402299e-07,1.0,0.0,146.0,0.0,0.0,0.0
Prob-4-12-4-3-19-2_0-396,3,2.000000,1.0,0.0,2.561,0.00370586206897,0.00146666666667,2.57471264368e-07,1.0,0.0,1874.0,0.0,0.0,0.0
Prob-4-12-4-2-23-1_25-268,2,1.250000,1.0,0.0,0.737666666667,0.0310529885057,0.00203333333333,7.22988505747e-07,1.0,0.0,73.0,0.0,0.0,0.0
Prob-4-12-4-1-22-2_0-111,1,2.000000,1.0,0.0,0.586666666667,0.000285057471264,0.00183333333333,2.81609195402e-07,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-3-15-1_0625-380,3,1.062500,0.0,0.0,1800.65217391,0.564235968379,None,None,None,None,None,None,149.291666667,522.302536232
Prob-4-12-4-1-0-1_5-2,1,1.500000,1.0,0.0,0.587666666667,0.000101264367816,0.00193333333333,1.33333333333e-07,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-2-27-1_0625-290,2,1.062500,1.0,0.0,0.704333333333,0.0252391954023,0.00193333333333,6.16091954023e-07,1.0,0.0,89.0,0.0,0.0,0.0
Prob-4-12-4-2-27-2_0-286,2,2.000000,1.0,0.0,0.887,0.00227,0.00216666666667,9.71264367816e-07,1.0,0.0,89.0,0.0,0.0,0.0
Prob-4-12-4-3-29-1_0625-450,3,1.062500,0.0,0.0,1801.44416667,0.405808333333,None,None,None,None,None,None,1336.69230769,94265.2307692
Prob-4-12-4-2-26-2_0-281,2,2.000000,1.0,0.0,0.767666666667,0.0315564367816,0.00196666666667,7.22988505747e-07,1.0,0.0,98.0,0.0,0.0,0.0
Prob-4-12-4-2-23-1_5-267,2,1.500000,1.0,0.0,0.870333333333,0.00138264367816,0.00183333333333,3.50574712644e-07,1.0,0.0,73.0,0.0,0.0,0.0
Prob-4-12-4-2-19-1_0625-250,2,1.062500,1.0,0.0,1.05033333333,0.000575747126437,0.00216666666667,3.50574712644e-07,1.0,0.0,146.0,0.0,0.0,0.0
